Subject,ROI,MNI_Y,Size,Parcel_Comp,Parcel_Dist,Mean_Tval,DICE
sub-01,Rnd1Tmax2day2VB,-80.22254943847656,169,88 (G_and_S_occipital_inf),29.118469967568377,7.3694444119552776,0.679
sub-01,Rnd2Tmax1day1VA,-89.72359466552734,182,178 (G_and_S_occipital_inf),54.84572655714309,11.374305739812552,0.626
sub-01,Rnd3Tmax1day2VB,-71.49151611328125,125,125 (G_oc-temp_lat-fusifor),32.97666149217212,5.081564716865122,0.6252519467043592
sub-01,Rnd4Tmax1day2VA,-59.687740325927734,180,143 (S_oc-temp_lat),8.707822065925242,2.987353575100812,0.5889185997402924
sub-01,Rnd5Tmax1day3PF,-55.181678771972656,103,103 (G_oc-temp_lat-fusifor),11.835198184104922,2.3613106981272476,0.3737177874107699
sub-01,Rnd6Tmax2day3PF,-45.448909759521484,60,35 (G_oc-temp_lat-fusifor),52.108872345239234,1.5735726844519378,0.3283006462933976
sub-02,Rnd1Tmax2day1VA,-30.870325088500977,123,96 (G_oc-temp_lat-fusifor),41.4176024055782,8.809862666134912,0.8666666666666667
sub-02,Rnd2Tmax2day2VA,-22.64213752746582,129,88 (G_oc-temp_lat-fusifor),24.519447146902532,11.532958542191706,0.86
sub-02,Rnd3Tmax1day2VA,-25.140832901000977,126,118 (G_oc-temp_lat-fusifor),22.58025464953044,8.557553810732704,0.8433333333333333
sub-02,Rnd4Tmax1day1VA,-40.12785720825195,155,138 (G_and_S_occipital_inf),30.032940911755567,9.633742383927588,0.6967336683417086
sub-02,Rnd5Tmax2day2VA,-40.49485778808594,141,78 (G_and_S_occipital_inf),63.627981000525,8.59897970984168,0.7850000000000001
sub-02,Rnd6Tmax2day1VB,-11.888402938842773,182,176 (G_oc-temp_lat-fusifor),31.829167264340725,4.5182496643469126,0.6383333333333333
sub-03,Rnd1Tmax1day2VA,-57.192623138427734,142,141 (G_and_S_occipital_inf),37.63661424040397,11.860056538565058,0.7792525252525253
sub-03,Rnd2Tmax2day2VB,-10.943055152893066,147,112 (S_oc-temp_lat),27.70696082467949,6.325091100793307,0.773
sub-03,Rnd3Tmax2day2VA,-27.062957763671875,166,75 (S_oc-temp_lat),28.730831135488476,7.423444989139596,0.6869999999999999
sub-03,Rnd4Tmax2day2VB,-33.2811279296875,146,54 (G_oc-temp_lat-fusifor),66.42669147864626,7.647191274737659,0.778875
sub-03,Rnd5Tmax1day1VA,-41.071266174316406,161,150 (G_and_S_occipital_inf),45.234442881697674,7.202306161854439,0.6594252873563219
sub-03,Rnd6Tmax2day2VA,-31.460304260253906,116,50 (S_occipital_ant),33.00592164954766,6.451323080448241,0.7311188536625826
sub-03,Rnd7Tmax1day1VA,-13.242738723754883,161,101 (S_oc-temp_lat),19.778989960400658,3.3915477346902225,0.40441782584620317
sub-03,Rnd8Tmax2day3PF,-38.52481460571289,129,101 (G_oc-temp_lat-fusifor),58.87080152138633,6.39466526101726,0.44183867823280953
sub-03,Rnd9Tmax1day3PF,-23.378406524658203,117,64 (G_oc-temp_lat-fusifor),42.352038312076914,3.0357369653800994,0.25940518730198564
sub-04,Rnd1Tmax2day1VB,-46.53822326660156,140,107 (G_oc-temp_lat-fusifor),53.79489087215997,14.17823165242161,0.8160000000000001
sub-04,Rnd2Tmax2day2VB,-35.44126510620117,160,102 (S_oc-temp_lat),17.083313666742818,6.413477499671281,0.7253735581188996
sub-04,Rnd3Tmax1day1VA,-65.63655853271484,141,141 (G_and_S_occipital_inf),44.70420246606249,12.778164450433238,0.7045714285714286
sub-04,Rnd4Tmax1day2VA,-40.484317779541016,168,129 (G_oc-temp_lat-fusifor),29.836984627714145,11.241158051575933,0.6759999999999999
sub-04,Rnd5Tmax2day2VA,-13.798755645751953,182,84 (S_collat_transv_ant),54.825201663125135,2.5575671332064442,0.4159504765773243
sub-04,Rnd6Tmax2day1VA,-53.4023551940918,203,186 (G_and_S_occipital_inf),14.138149960219067,9.942760602469221,0.5166115107913669
sub-05,Rnd1Tmax2day1VB,-43.58332061767578,176,92 (G_and_S_occipital_inf),58.0189701723078,10.897013460721386,0.6633333333333333
sub-05,Rnd2Tmax2day1VB,-31.381290435791016,175,133 (S_temporal_inf),123.49422923108185,7.576855015706043,0.6790476190476189
sub-05,Rnd3Tmax2day1VB,-11.33486557006836,167,80 (S_oc-temp_lat),38.407803041678,6.483676247712992,0.689047619047619
sub-05,Rnd4Tmax2day3PF,-33.51777267456055,221,103 (S_oc-temp_lat),14.680585828465333,5.519473066213935,0.5829290149169087
sub-05,Rnd5Tmax2day1VB,-50.767784118652344,196,161 (G_and_S_occipital_inf),30.098469900457197,7.964113807709584,0.5780952380952381
sub-05,Rnd6Tmax1day1VA,-54.00377655029297,136,132 (G_and_S_occipital_inf),8.557290488206881,5.353489386569318,0.4116946820113252
sub-05,Rnd7Tmax2day3PF,-39.42311477661133,160,134 (S_oc-temp_lat),34.12965691313202,7.681602442815035,0.3973218144333354
sub-05,Rnd8Tmax2day1VB,-16.056352615356445,123,62 (S_oc-temp_lat),30.440742167233925,3.208971294896238,0.36853294821438065
sub-05,Rnd9Tmax2day5BCBL,-52.46670913696289,128,116 (G_and_S_occipital_inf),6.5732679459110175,5.90556659765051,0.2918515194281762
sub-05,Rnd10Tmax1day6BCBL,-21.919776916503906,236,161 (S_oc-temp_lat),20.114979063119264,2.548213511146013,0.21136905451402382
sub-05,Rnd11Tmax2day1VA,-34.13660430908203,180,99 (G_oc-temp_lat-fusifor),31.183990523498117,4.570412103182429,0.3483394418240931
