subj,round,roi_key,stg2_aparc_score,roi,roi_depth_score,roi_nontarget_score,n_trim,centroid_y_trim,stg2_combined_score
sub-01,1,R1_Rnd1Tmax2day2VB,0.8525,Rnd1Tmax2day2VB,0.7051,0.3207,87,-78.9448,0.6776
sub-01,2,R2_Rnd2Tmax1day1VA,0.5141,Rnd2Tmax1day1VA,0.726,0.1167,87,-89.4617,0.4354
sub-01,3,R3_Rnd3Tmax1day2VB,0.7086,Rnd3Tmax1day2VB,0.7494,0.1336,69,-72.1606,0.5327
sub-01,4,R4_Rnd4Tmax1day2VA,0.7098,Rnd4Tmax1day2VA,0.0,0.7393,64,-58.8012,0.6076
sub-01,5,R5_Rnd5Tmax1day3PF,0.3539,Rnd5Tmax1day3PF,1.0,0.5716,13,-56.0792,0.704
sub-01,6,R6_Rnd6Tmax2day3PF,0.0464,Rnd6Tmax2day3PF,0.5321,0.7215,13,-44.6977,0.5012
sub-02,1,R1_Rnd1Tmax2day1VA,0.751,Rnd1Tmax2day1VA,0.6839,0.1026,93,-31.5062,0.4573
sub-02,2,R2_Rnd2Tmax2day2VA,0.9745,Rnd2Tmax2day2VA,0.0,0.2291,91,-22.478,0.4334
sub-02,3,R3_Rnd3Tmax1day2VA,0.8016,Rnd3Tmax1day2VA,0.5754,0.1265,96,-24.5397,0.4636
sub-02,4,R4_Rnd4Tmax1day1VA,0.4887,Rnd4Tmax1day1VA,1.0,0.1526,77,-40.1279,0.4802
sub-02,5,R5_Rnd5Tmax2day2VA,0.2724,Rnd5Tmax2day2VA,0.0619,0.4215,82,-43.4843,0.2795
sub-02,6,R6_Rnd6Tmax2day1VB,0.2582,Rnd6Tmax2day1VB,0.7168,0.524,64,-11.4746,0.5723
sub-03,1,R1_Rnd1Tmax1day2VA,0.7108,Rnd1Tmax1day2VA,0.7376,0.1348,101,-57.1926,0.5268
sub-03,2,R2_Rnd2Tmax2day2VB,0.9393,Rnd2Tmax2day2VB,0.0,0.7521,99,-11.9861,0.6667
sub-03,3,R3_Rnd3Tmax2day2VA,0.8694,Rnd3Tmax2day2VA,0.5749,0.0338,97,-27.063,0.4946
sub-03,4,R4_Rnd4Tmax2day2VB,0.5198,Rnd4Tmax2day2VB,0.5617,0.3305,97,-33.2811,0.476
sub-03,5,R5_Rnd5Tmax1day1VA,0.49,Rnd5Tmax1day1VA,1.0,0.1176,98,-40.1888,0.5104
sub-03,6,R6_Rnd6Tmax2day2VA,0.5821,Rnd6Tmax2day2VA,0.0531,0.349,77,-31.4603,0.3421
sub-03,7,R7_Rnd7Tmax1day1VA,0.453,Rnd7Tmax1day1VA,0.823,0.7464,20,-5.9064,0.7271
sub-03,8,R8_Rnd8Tmax2day3PF,0.2052,Rnd8Tmax2day3PF,0.8494,0.1747,73,-36.5764,0.3629
sub-03,9,R9_Rnd9Tmax1day3PF,0.172,Rnd9Tmax1day3PF,0.5646,0.3993,16,-15.5804,0.3578
sub-04,1,R1_Rnd1Tmax2day1VB,0.6751,Rnd1Tmax2day1VB,0.0,0.4598,95,-46.5382,0.4904
sub-04,2,R2_Rnd2Tmax2day2VB,0.6266,Rnd2Tmax2day2VB,0.3651,0.8826,87,-34.9052,0.7511
sub-04,3,R3_Rnd3Tmax1day1VA,0.4308,Rnd3Tmax1day1VA,0.7608,0.0524,97,-66.2274,0.4663
sub-04,4,R4_Rnd4Tmax1day2VA,0.5858,Rnd4Tmax1day2VA,0.9152,0.1354,101,-40.3737,0.6263
sub-04,5,R5_Rnd5Tmax2day2VA,0.0,Rnd5Tmax2day2VA,1.0,0.917,38,-11.5115,0.6667
sub-04,6,R6_Rnd6Tmax2day1VA,0.4396,Rnd6Tmax2day1VA,0.5774,0.1771,62,-50.6758,0.4576
sub-05,1,R1_Rnd1Tmax2day1VB,0.798,Rnd1Tmax2day1VB,0.6461,0.1524,92,-43.5833,0.5274
sub-05,2,R2_Rnd2Tmax2day1VB,0.6597,Rnd2Tmax2day1VB,0.8085,0.7561,99,-30.9165,0.7787
sub-05,3,R3_Rnd3Tmax2day1VB,0.8739,Rnd3Tmax2day1VB,0.5233,0.288,96,-11.3349,0.5957
sub-05,4,R4_Rnd4Tmax2day3PF,0.6586,Rnd4Tmax2day3PF,0.0,0.401,66,-35.4185,0.3433
sub-05,5,R5_Rnd5Tmax2day1VB,0.7229,Rnd5Tmax2day1VB,0.6734,0.0991,100,-50.7678,0.4662
sub-05,6,R6_Rnd6Tmax1day1VA,0.5643,Rnd6Tmax1day1VA,1.0,0.2474,32,-59.6704,0.5479
sub-05,7,R7_Rnd7Tmax2day3PF,0.4673,Rnd7Tmax2day3PF,0.6708,0.1856,59,-39.8828,0.3506
sub-05,8,R8_Rnd8Tmax2day1VB,0.4157,Rnd8Tmax2day1VB,0.1895,0.8153,17,-18.1325,0.452
sub-05,9,R9_Rnd9Tmax2day5BCBL,0.4598,Rnd9Tmax2day5BCBL,0.1399,0.1244,16,-52.1118,0.1406
sub-05,10,R10_Rnd10Tmax1day6BCBL,0.3243,Rnd10Tmax1day6BCBL,0.5226,0.3402,13,-21.9198,0.2864
sub-05,11,R11_Rnd11Tmax2day1VA,0.3588,Rnd11Tmax2day1VA,0.2587,0.1387,33,-30.4546,0.1256
