subj,final,roi,n,Y,aparc,anat,nontarget,combined
sub-01,aVWFA,Rnd4Tmax1day2VA,64,-58.8,0.71,0.0,0.739,0.608
sub-01,cVWFA,Rnd3Tmax1day2VB,69,-72.2,0.709,0.749,0.134,0.533
sub-01,pVWFA,Rnd1Tmax2day2VB,87,-78.9,0.853,0.705,0.321,0.678
sub-02,aVWFA,Rnd6Tmax2day1VB,64,-11.5,0.258,0.717,0.524,0.572
sub-02,cVWFA,Rnd3Tmax1day2VA,96,-24.5,0.802,0.575,0.127,0.464
sub-02,pVWFA,Rnd4Tmax1day1VA,77,-40.1,0.489,1.0,0.153,0.48
sub-03,aVWFA,Rnd7Tmax1day1VA,20,-5.9,0.453,0.823,0.746,0.727
sub-03,cVWFA,Rnd2Tmax2day2VB,99,-12.0,0.939,0.0,0.752,0.667
sub-03,pVWFA,Rnd1Tmax1day2VA,101,-57.2,0.711,0.738,0.135,0.527
sub-04,aVWFA,Rnd5Tmax2day2VA,38,-11.5,0.0,1.0,0.917,0.667
sub-04,cVWFA,Rnd2Tmax2day2VB,87,-34.9,0.627,0.365,0.883,0.751
sub-04,pVWFA,Rnd4Tmax1day2VA,101,-40.4,0.586,0.915,0.135,0.626
sub-05,aVWFA,Rnd3Tmax2day1VB,96,-11.3,0.874,0.523,0.288,0.596
sub-05,cVWFA,Rnd2Tmax2day1VB,99,-30.9,0.66,0.809,0.756,0.779
sub-05,pVWFA,Rnd6Tmax1day1VA,32,-59.7,0.564,1.0,0.247,0.548
