threshold,subj,roi,mni_y,size,n_sessions_present,seed_tval,dice
1.65,sub-01,Surfclust1_day2VB,-89.11,2667,5,28.787965774536133,0.25495144843335943
1.65,sub-02,Surfclust1_day2VA,-43.09,1984,4,26.817913055419922,0.8583693858095719
1.65,sub-02,Surfclust2_day1VB,-28.38,74,1,3.771132230758667,0.0
1.65,sub-03,Surfclust1_day3PF,-55.06,2955,5,30.100208282470703,0.4075238940616009
1.65,sub-04,Surfclust1_day1VA,-46.18,3044,5,33.03848648071289,0.14793155088513135
1.65,sub-05,Surfclust1_day6BCBL,-42.61,3993,7,24.964988708496094,0.25188378996287714
2.33,sub-01,Surfclust1_day2VB,-89.11,2003,5,28.787965774536133,0.1964295258900293
2.33,sub-01,Surfclust2_day3PF,-44.67,141,1,5.104962348937988,0.0
2.33,sub-01,Surfclust3_day3PF,-52.57,115,1,4.634654998779297,0.0
2.33,sub-02,Surfclust1_day2VA,-43.09,1731,4,26.817913055419922,0.4113791147726557
2.33,sub-03,Surfclust1_day3PF,-55.06,2518,5,30.100208282470703,0.18925518161789356
2.33,sub-04,Surfclust1_day1VA,-46.18,2197,5,33.03848648071289,0.828108805281274
2.33,sub-04,Surfclust2_day1VB,-16.42,242,5,7.193752288818359,0.489462569209286
2.33,sub-04,Surfclust3_day2VB,-24.53,62,1,5.212873935699463,0.0
2.33,sub-05,Surfclust1_day6BCBL,-42.61,3683,7,24.964988708496094,0.21340987854818969
3.1,sub-01,Surfclust1_day2VB,-89.11,1709,5,28.787965774536133,0.2199653461986222
3.1,sub-02,Surfclust1_day2VA,-43.09,1480,4,26.817913055419922,0.23198174236536978
3.1,sub-03,Surfclust1_day3PF,-55.06,2041,5,30.100208282470703,0.22087278771185337
3.1,sub-03,Surfclust2_day3PF,-22.86,54,1,4.599216938018799,0.0
3.1,sub-04,Surfclust1_day1VA,-46.18,1884,5,33.03848648071289,0.8344704610538939
3.1,sub-04,Surfclust2_day1VB,-16.42,182,3,7.193752288818359,0.46875736293695436
3.1,sub-05,Surfclust1_day6BCBL,-42.61,3308,7,24.964988708496094,0.1420340705291158
4.0,sub-01,Surfclust1_day2VB,-89.11,1289,5,28.787965774536133,0.7476408980681863
4.0,sub-01,Surfclust2_day3PF,-59.83,52,1,7.46447229385376,0.0
4.0,sub-02,Surfclust1_day2VA,-43.09,560,4,26.817913055419922,0.8666510604421274
4.0,sub-02,Surfclust2_day1VB,-18.1,682,4,20.799516677856445,0.5561273418637502
4.0,sub-03,Surfclust1_day3PF,-55.06,1661,5,30.100208282470703,0.16958184082353123
4.0,sub-04,Surfclust1_day1VA,-46.18,1669,5,33.03848648071289,0.4097488306110133
4.0,sub-04,Surfclust2_day1VB,-16.42,144,3,7.193752288818359,0.30232502545620704
4.0,sub-05,Surfclust1_day6BCBL,-42.61,2943,7,24.964988708496094,0.15562747529111712
