subj,roi,round,n,centroid_y,depth_mean,depth_sd,gmm_k,anat_spread,roi_depth_score
sub-01,Rnd1Tmax2day2VB,1,169,-80.22254943847656,-3.8132586599983407,1.9939124326909163,2,0.8109090302707509,0.7051
sub-01,Rnd2Tmax1day1VA,2,182,-89.72359466552734,-4.6021921419548795,2.6324825319228506,2,0.7846032381057739,0.726
sub-01,Rnd3Tmax1day2VB,3,125,-71.49151611328125,-2.6357236450314523,1.7677924809829844,2,0.7550173598467325,0.7494
sub-01,Rnd4Tmax1day2VA,4,180,-59.687740325927734,0.872631623595953,4.090469687398207,2,1.6994552703075834,0.0
sub-01,Rnd5Tmax1day3PF,5,103,-55.181678771972656,-1.3233240786035663,1.8255905825603265,3,0.4392770859058521,1.0
sub-01,Rnd6Tmax2day3PF,6,60,-45.448909759521484,1.1317186530679464,2.620714846305402,2,1.02887362241745,0.5321
sub-02,Rnd1Tmax2day1VA,1,123,-30.870325088500977,0.4893737952092405,1.8306695126867811,2,0.7750659351634235,0.6839
sub-02,Rnd2Tmax2day2VA,2,129,-22.64213752746582,1.6313273292179256,3.117507158745815,2,1.351245258874982,0.0
sub-02,Rnd3Tmax1day2VA,3,126,-25.140832901000977,1.7382188122054296,2.332731649095504,2,0.8664653509229457,0.5754
sub-02,Rnd4Tmax1day1VA,4,155,-40.12785720825195,-7.884471062690981,1.1791888134588038,2,0.5087809608751126,1.0
sub-02,Rnd5Tmax2day2VA,5,141,-40.49485778808594,-2.098002513461079,1.9926989231009424,1,1.2991356052828174,0.0619
sub-02,Rnd6Tmax2day1VB,6,182,-11.888402938842773,-4.085384335727072,3.105485559894517,3,0.7473497576847556,0.7168
sub-03,Rnd1Tmax1day2VA,1,142,-57.192623138427734,-5.211937278089389,1.6145239763099077,2,0.7409419058120257,0.7376
sub-03,Rnd2Tmax2day2VB,2,147,-10.943055152893066,2.234335099074508,2.110475394377315,1,1.7533775226143349,0.0
sub-03,Rnd3Tmax2day2VA,3,166,-27.062957763671875,3.3732362433437664,2.9915037233763395,2,0.964346170425415,0.5749
sub-03,Rnd4Tmax2day2VB,4,146,-33.2811279296875,1.60284058517483,2.384034341271063,2,0.9823794364929199,0.5617
sub-03,Rnd5Tmax1day1VA,5,161,-41.071266174316406,-4.680740539331614,1.2722556781152143,2,0.3808288955089303,1.0
sub-03,Rnd6Tmax2day2VA,6,116,-31.460304260253906,1.686807007898159,2.423037840850105,1,1.6804565964266658,0.0531
sub-03,Rnd7Tmax1day1VA,7,161,-13.242738723754883,2.9247815213896486,4.1016676941341474,4,0.6238088897411407,0.823
sub-03,Rnd8Tmax2day3PF,8,129,-38.52481460571289,2.63287587167854,2.3450987805071155,2,0.5875819223127099,0.8494
sub-03,Rnd9Tmax1day3PF,9,117,-23.378406524658203,-0.44990168651963913,5.175846706547248,3,0.9784531252076438,0.5646
sub-04,Rnd1Tmax2day1VB,1,140,-46.53822326660156,-4.044799884701414,2.454201084351686,1,1.7023249864578247,0.0
sub-04,Rnd2Tmax2day2VB,2,160,-35.44126510620117,-2.34278074070462,3.4709965146336406,2,1.307411551475525,0.3651
sub-04,Rnd3Tmax1day1VA,3,141,-65.63655853271484,-5.36522698571496,1.9812562702119119,2,0.8794074428425018,0.7608
sub-04,Rnd4Tmax1day2VA,4,168,-40.484317779541016,0.7925729369037852,2.5771419023923965,3,0.712351391628891,0.9152
sub-04,Rnd5Tmax2day2VA,5,182,-13.798755645751953,4.88189430976962,1.649933118074445,2,0.6206321295500865,1.0
sub-04,Rnd6Tmax2day1VA,6,203,-53.4023551940918,-3.8903671289688626,2.441181189741109,2,1.0777876765118846,0.5774
sub-05,Rnd1Tmax2day1VB,1,176,-43.58332061767578,-3.585129529322413,3.1697086179938063,2,1.1072395074918844,0.6461
sub-05,Rnd2Tmax2day1VB,2,175,-31.381290435791016,8.20577869279044,2.482118315336207,2,0.9603890332336231,0.8085
sub-05,Rnd3Tmax2day1VB,3,167,-11.33486557006836,2.2466408857506908,2.9957404405903123,2,1.2182723263948396,0.5233
sub-05,Rnd4Tmax2day3PF,4,221,-33.51777267456055,0.6707743227911683,4.44291925449711,2,1.691502804625614,0.0
sub-05,Rnd5Tmax2day1VB,5,196,-50.767784118652344,-6.415173839853734,2.360643768884622,2,1.0825766269734496,0.6734
sub-05,Rnd6Tmax1day1VA,6,136,-54.00377655029297,-5.1385465573300335,2.3447560800703413,2,0.7872344481119855,1.0
sub-05,Rnd7Tmax2day3PF,7,160,-39.42311477661133,3.8732268224062865,2.4854462283440246,2,1.0849165148702964,0.6708
sub-05,Rnd8Tmax2day1VB,8,123,-16.056352615356445,-0.5551442754250474,4.018164935957834,2,1.5201072861933254,0.1895
sub-05,Rnd9Tmax2day5BCBL,9,128,-52.46670913696289,0.5995431268238463,2.187426549003041,1,1.5649878680706024,0.1399
sub-05,Rnd10Tmax1day6BCBL,10,236,-21.919776916503906,2.1077085495492347,5.1590704358125645,3,1.2189093657144725,0.5226
sub-05,Rnd11Tmax2day1VA,11,180,-34.13660430908203,-2.197645607877833,3.5714398012115565,2,1.4575335996855996,0.2587
