subj,roi,round,stg2_aparc_score,roi_depth_score,roi_nontarget_score,n_trim,centroid_y_trim,stg2_combined_score
sub-01,Rnd1Tmax2day2VB,1,0.8525,0.7051,0.3207,87,-78.9448,0.6776
sub-01,Rnd2Tmax1day1VA,2,0.5141,0.726,0.1167,87,-89.4617,0.4354
sub-01,Rnd3Tmax1day2VB,3,0.7086,0.7494,0.1336,69,-72.1606,0.5327
sub-01,Rnd4Tmax1day2VA,4,0.7098,0.0,0.7393,64,-58.8012,0.6076
sub-01,Rnd5Tmax1day3PF,5,0.3539,1.0,0.5716,13,-56.0792,0.704
sub-01,Rnd6Tmax2day3PF,6,0.0464,0.5321,0.7215,13,-44.6977,0.5012
sub-02,Rnd1Tmax2day1VA,1,0.751,0.6839,0.1026,93,-31.5062,0.4573
sub-02,Rnd2Tmax2day2VA,2,0.9745,0.0,0.2291,91,-22.478,0.4334
sub-02,Rnd3Tmax1day2VA,3,0.8016,0.5754,0.1265,96,-24.5397,0.4636
sub-02,Rnd4Tmax1day1VA,4,0.4887,1.0,0.1526,77,-40.1279,0.4802
sub-02,Rnd5Tmax2day2VA,5,0.2724,0.0619,0.4215,82,-43.4843,0.2795
sub-02,Rnd6Tmax2day1VB,6,0.2582,0.7168,0.524,64,-11.4746,0.5723
sub-03,Rnd1Tmax1day2VA,1,0.7108,0.7376,0.1348,101,-57.1926,0.5268
sub-03,Rnd2Tmax2day2VB,2,0.9393,0.0,0.7521,99,-11.9861,0.6667
sub-03,Rnd3Tmax2day2VA,3,0.8694,0.5749,0.0338,97,-27.063,0.4946
sub-03,Rnd4Tmax2day2VB,4,0.5198,0.5617,0.3305,97,-33.2811,0.476
sub-03,Rnd5Tmax1day1VA,5,0.49,1.0,0.1176,98,-40.1888,0.5104
sub-03,Rnd6Tmax2day2VA,6,0.5821,0.0531,0.349,77,-31.4603,0.3421
sub-03,Rnd7Tmax1day1VA,7,0.453,0.823,0.7464,20,-5.9064,0.7271
sub-03,Rnd8Tmax2day3PF,8,0.2052,0.8494,0.1747,73,-36.5764,0.3629
sub-03,Rnd9Tmax1day3PF,9,0.172,0.5646,0.3993,16,-15.5804,0.3578
sub-04,Rnd1Tmax2day1VB,1,0.6751,0.0,0.4598,95,-46.5382,0.4904
sub-04,Rnd2Tmax2day2VB,2,0.6266,0.3651,0.8826,87,-34.9052,0.7511
sub-04,Rnd3Tmax1day1VA,3,0.4308,0.7608,0.0524,97,-66.2274,0.4663
sub-04,Rnd4Tmax1day2VA,4,0.5858,0.9152,0.1354,101,-40.3737,0.6263
sub-04,Rnd5Tmax2day2VA,5,0.0,1.0,0.917,38,-11.5115,0.6667
sub-04,Rnd6Tmax2day1VA,6,0.4396,0.5774,0.1771,62,-50.6758,0.4576
sub-05,Rnd1Tmax2day1VB,1,0.798,0.6461,0.1524,92,-43.5833,0.5274
sub-05,Rnd2Tmax2day1VB,2,0.6597,0.8085,0.7561,99,-30.9165,0.7787
sub-05,Rnd3Tmax2day1VB,3,0.8739,0.5233,0.288,96,-11.3349,0.5957
sub-05,Rnd4Tmax2day3PF,4,0.6586,0.0,0.401,66,-35.4185,0.3433
sub-05,Rnd5Tmax2day1VB,5,0.7229,0.6734,0.0991,100,-50.7678,0.4662
sub-05,Rnd6Tmax1day1VA,6,0.5643,1.0,0.2474,32,-59.6704,0.5479
sub-05,Rnd7Tmax2day3PF,7,0.4673,0.6708,0.1856,59,-39.8828,0.3506
sub-05,Rnd8Tmax2day1VB,8,0.4157,0.1895,0.8153,17,-18.1325,0.4519
sub-05,Rnd9Tmax2day5BCBL,9,0.4598,0.1399,0.1244,16,-52.1118,0.1406
sub-05,Rnd10Tmax1day6BCBL,10,0.3243,0.5226,0.3402,13,-21.9198,0.2864
sub-05,Rnd11Tmax2day1VA,11,0.3588,0.2587,0.1387,33,-30.4546,0.1256
